infra_id,county_id,infra_type,lat,lon,voltage_kv,capacity_score
I00001,VA001,transmission_line,39.121050094089895,-77.76866591209948,500,
I00002,VA001,transmission_line,39.07080889068165,-77.67578348362542,500,
I00003,VA001,transmission_line,38.995088454671524,-77.50689503935911,230,
I00004,VA001,substation,39.02540066134043,-77.69585602605858,,93
I00005,VA001,substation,39.1406771022664,-77.6097467122763,,72
I00006,VA001,fiber_node,39.12849852036094,-77.39660228789555,,49
I00007,VA001,fiber_node,39.028030198033846,-77.71506912748858,,94
I00008,VA001,water_source,39.15071753070906,-77.51812332487349,,62
I00009,VA001,highway_interchange,39.06312630508141,-77.7544187772355,,
I00010,VA001,highway_interchange,38.97786225411705,-77.57552886546104,,
I00011,VA001,data_center,39.16599050054441,-77.58842148780337,,
I00012,VA001,data_center,38.996938835125356,-77.62574064123199,,
I00013,VA002,transmission_line,39.217702297096885,-78.23695736839251,115,
I00014,VA002,transmission_line,39.23053146585296,-78.18173037243137,500,
I00015,VA002,transmission_line,39.211809488338666,-78.2285056721572,500,
I00016,VA002,substation,39.02884130161732,-78.30156054596287,,79
I00017,VA002,substation,39.14725528148486,-78.33986534178919,,42
I00018,VA002,fiber_node,39.383092957348126,-78.3670997338832,,48
I00019,VA002,fiber_node,39.319893402550974,-78.4651443725939,,44
I00020,VA002,water_source,39.2232303678126,-78.19285332023688,,85
I00021,VA002,highway_interchange,39.28904718957514,-78.167998331776,,
I00022,VA002,highway_interchange,39.161852991330186,-78.31868221511975,,
I00023,VA002,data_center,39.30665710575086,-78.28615651898579,,
I00024,VA003,transmission_line,38.95891764119945,-78.13209446568041,500,
I00025,VA003,transmission_line,39.17165928928645,-77.97900891167153,115,
I00026,VA003,transmission_line,39.19485824248813,-78.04737031756038,230,
I00027,VA003,substation,39.18707084727608,-78.03322158476642,,87
I00028,VA003,substation,39.166813028506894,-78.07553111292799,,60
I00029,VA003,fiber_node,39.066191452720204,-78.13960075747069,,41
I00030,VA003,fiber_node,39.17043669769427,-78.05242828082433,,94
I00031,VA003,water_source,39.16968959906871,-77.94251625887641,,70
I00032,VA003,highway_interchange,39.19184621307674,-78.00791825814113,,
I00033,VA003,highway_interchange,39.061204202554705,-78.00566618530877,,
I00034,VA003,data_center,38.90951986792504,-78.16975349669077,,
I00035,VA004,transmission_line,38.58527604651747,-77.94076961931218,230,
I00036,VA004,transmission_line,38.63534251335679,-77.86647950648472,500,
I00037,VA004,transmission_line,38.899907395734324,-77.86385167652737,115,
I00038,VA004,substation,38.631965878398816,-77.84575250694412,,83
I00039,VA004,substation,38.62999735341073,-77.86178396910807,,47
I00040,VA004,fiber_node,38.53672154921692,-77.7689691627745,,67
I00041,VA004,fiber_node,38.77252827227987,-77.89239799468362,,67
I00042,VA004,water_source,38.752655540925666,-77.88463912508766,,91
I00043,VA004,highway_interchange,38.77192114536256,-77.81847774253718,,
I00044,VA004,highway_interchange,38.93621346695851,-77.84982267529676,,
I00045,VA004,data_center,38.62118030088538,-77.79958692380524,,
I00046,VA005,transmission_line,38.72869960207661,-77.31579749097115,115,
I00047,VA005,transmission_line,38.74512452709794,-77.30330365305365,115,
I00048,VA005,transmission_line,38.55964843348126,-77.55567018392996,115,
I00049,VA005,substation,38.65552282362131,-77.64410233770676,,95
I00050,VA005,substation,38.77851811361773,-77.50556672365185,,49
I00051,VA005,fiber_node,38.5804305102551,-77.44127833830598,,97
I00052,VA005,fiber_node,38.802875188147326,-77.23929229299698,,80
I00053,VA005,water_source,38.75202913199312,-77.59764457440382,,69
I00054,VA005,highway_interchange,38.446454446312245,-77.44677462451874,,
I00055,VA005,highway_interchange,38.60474706856276,-77.52874287122155,,
I00056,VA005,data_center,38.62884838411282,-77.49579490636997,,
I00057,VA006,transmission_line,38.612917627694515,-77.93715417190656,230,
I00058,VA006,transmission_line,38.3607215496609,-78.15696195336453,115,
I00059,VA006,transmission_line,38.4266430509112,-77.9624539060982,500,
I00060,VA006,substation,38.50063294257674,-77.83807125867723,,83
I00061,VA006,substation,38.425084528175304,-78.09819325197005,,54
I00062,VA006,fiber_node,38.39797287225571,-77.70058363210778,,42
I00063,VA006,fiber_node,38.38643359849307,-77.85538129555164,,97
I00064,VA006,water_source,38.59678876154491,-77.9098058840673,,59
I00065,VA006,highway_interchange,38.46620345228103,-77.96089150313625,,
I00066,VA006,highway_interchange,38.40642547654847,-77.90247133582216,,
I00067,VA006,data_center,38.43040198235911,-78.10307269165207,,
I00068,VA007,transmission_line,38.75464749108165,-78.18928944987334,115,
I00069,VA007,transmission_line,38.927198993628814,-78.22423659913318,500,
I00070,VA007,transmission_line,38.942299136752304,-78.05327979099518,115,
I00071,VA007,substation,38.85868873229995,-78.07724535479281,,86
I00072,VA007,substation,38.9594507726154,-78.02570928096047,,62
I00073,VA007,fiber_node,38.76106371619354,-78.37417910390947,,55
I00074,VA007,fiber_node,39.10611135186775,-78.003160113506,,93
I00075,VA007,water_source,38.862017521463684,-78.03462668493093,,49
I00076,VA007,highway_interchange,38.775154518154785,-78.3173672422747,,
I00077,VA007,highway_interchange,38.985199215362684,-78.25735261474314,,
I00078,VA007,data_center,38.90738537599359,-78.22961314782293,,
I00079,VA008,transmission_line,38.72450894585587,-77.99110217664236,115,
I00080,VA008,transmission_line,38.76127265519322,-78.40602065212371,115,
I00081,VA008,transmission_line,38.67815379176838,-78.26118763243514,500,
I00082,VA008,substation,38.578621715968545,-78.20009481288409,,74
I00083,VA008,substation,38.79390830508272,-78.31916712612875,,89
I00084,VA008,fiber_node,38.62589966799997,-78.19932077132343,,47
I00085,VA008,fiber_node,38.80433093903655,-78.09542614755952,,58
I00086,VA008,water_source,38.66545931849001,-78.24351311340048,,97
I00087,VA008,highway_interchange,38.657136941974336,-78.13090038504745,,
I00088,VA008,highway_interchange,38.705188803014444,-78.290126568668,,
I00089,VA008,data_center,38.69485877379534,-78.13261260038333,,
