parcel_id,county_id,acres,lat,lon,current_land_use,soil_quality,slope_pct,flood_risk,wetland_share,solar_irradiance,zoning_class
P0000001,VA001,792.8208413343024,39.26448446112816,-77.73892433505588,mixed_ag,43.04836997244495,2.536163764117126,0.3345767217307421,0.08192301733882806,4.993351255777426,RURAL
P0000002,VA001,32.11089720328313,38.9300954754609,-77.44067528879717,timber,48.548216323180405,13.35170300986989,0.033902720409541884,0.018710430735519156,4.468345375069465,AG
P0000003,VA001,42.79066137059602,39.05298262560253,-77.68023874900089,timber,56.67009171771476,5.881360936007728,0.14662602342886277,0.03636870012649835,5.150674215866334,AG
P0000004,VA001,67.70762721324458,38.96555885280166,-77.53448570469111,timber,72.20215105087416,0.691528373446843,0.21186782192848988,0.089278414826503,4.6533968792358635,INDUSTRIAL
P0000005,VA001,17.505198817263945,39.05311497354903,-77.63594875786275,timber,59.42128128018065,0.6797667258427137,0.2895211604134575,0.0855796491885881,4.803929334695697,AG
P0000006,VA001,290.1942886489318,39.120708667892956,-77.47920654738321,cropland,77.41982265195588,3.2809124608122247,0.10424800588916798,0.05436284955669658,4.855771141898526,MIXED
P0000007,VA001,114.12300559098308,38.95959928074052,-77.70542798423662,cropland,74.56300716346544,2.293476839183602,0.16801061924846475,0.0323118107664663,4.70652835516059,RURAL
P0000008,VA001,163.67937058748845,39.23842096816512,-77.85992382768048,mixed_ag,73.86359484190032,0.8628758438525603,0.20650879938049774,0.1802872512246989,4.297829157341216,AG
P0000009,VA001,107.02900189066204,39.115139386435345,-77.55361757530896,pasture,63.124864545206336,11.010163536141357,0.045163310173811776,0.18193057619745143,5.41467858512113,RURAL
P0000010,VA001,26.704978901467427,39.23722543615171,-77.69936994309568,timber,84.64326027290791,0.8397399374747304,0.01659230029940043,0.21839260072054645,4.434878388226582,INDUSTRIAL
P0000011,VA001,203.15250688936501,39.090624143205865,-77.57758669146241,mixed_ag,72.950970584022,2.281050542263477,0.1736199567821856,0.048917870048669404,4.146234685173833,AG
P0000012,VA001,20.84845099951597,39.00897355598448,-77.57865661002722,mixed_ag,67.96685122912778,8.763445380915908,0.12877893242083926,0.10746706428194865,4.289153151193221,AG
P0000013,VA001,219.24295694009328,39.248876983116595,-77.7918181515377,timber,49.39184091263698,5.894197912570263,0.015469445578886762,0.018071838818253902,4.715031700798868,AG
P0000014,VA001,323.1084367673709,39.04252138491356,-77.80128578168457,cropland,60.02767741854118,8.898573551055696,0.06663454599437264,0.06502385452429729,4.716574630416389,RURAL
P0000015,VA001,151.85451151282035,38.99346311940506,-77.8125567493309,cropland,48.23923830515588,2.854696746258086,0.4731565367766194,0.050048088511748814,4.481259530640594,AG
P0000016,VA001,50.95985027522158,39.07743390623622,-77.39383262734042,pasture,86.49821759909258,4.469081703809156,0.16244402233516586,0.024276324818497837,4.979850451556068,AG
P0000017,VA001,96.81531480996657,39.12219655793087,-77.68446730555463,timber,37.52890873677315,3.1746476933345895,0.017190830031573484,0.010476012828835292,4.752209495012276,AG
P0000018,VA001,170.08561023467064,38.92070416470055,-77.68333233626976,cropland,63.708490222684276,7.2755977790719495,0.164093504821347,0.016406438367887386,5.091337487223295,AG
P0000019,VA001,357.37152431008974,39.089948581680545,-77.62777711766773,pasture,59.57344283833743,1.8075158337676496,0.15283485081497344,0.24700847284352123,4.310819686772616,RURAL
P0000020,VA001,104.90674091145834,39.0514622431052,-77.669518487138,timber,49.87195937085338,6.889707623907101,0.16096287919075103,0.09499490860370643,4.164434874339623,AG
P0000021,VA001,81.62727535779418,38.98792026867691,-77.6606680381652,mixed_ag,65.76713087828243,2.152105256353169,0.2649255247946068,0.10025194884240443,4.285106824729286,RURAL
P0000022,VA001,40.30094342945124,39.21041861000121,-77.52880500149405,cropland,70.4518150675861,3.288602488687201,0.30432063745005633,0.14835617806976542,5.237454597784588,RURAL
